encoder_layers,mask_ratio,repetitions,mae_encoder_tokens,proxy_encoder_tokens,mae_step_ms_mean,mae_step_ms_std,proxy_step_ms_mean,proxy_step_ms_std,mae_examples_sec_mean,mae_examples_sec_std,proxy_examples_sec_mean,proxy_examples_sec_std,mae_peak_allocated_mb_mean,mae_peak_allocated_mb_std,proxy_peak_allocated_mb_mean,proxy_peak_allocated_mb_std,mae_peak_reserved_mb_mean,mae_peak_reserved_mb_std,proxy_peak_reserved_mb_mean,proxy_peak_reserved_mb_std,speedup_mean,speedup_std,memory_reduction_allocated_pct_mean,memory_reduction_allocated_pct_std,memory_reduction_reserved_pct_mean,memory_reduction_reserved_pct_std
6,0.5,5,256,512,38.22511011199094,0.13399628412078674,57.34832924394868,0.15907665348181504,837.154315172543,2.9467106535087844,557.99703426586,1.5530119250986014,3709.82763671875,0.0,5056.0087890625,0.0,3976.0,0.0,5482.0,0.0,1.500282229209005,0.001343897405887209,26.625372077198517,0.0,27.471725647573876,0.0
6,0.75,5,128,512,35.715523045975715,0.10104378917376111,62.08401189401047,0.16783337704615947,895.9747141277232,2.542848632348585,515.4336312348711,1.3979063372781246,3014.17138671875,0.0,5078.7587890625,0.0,3256.0,0.0,5440.0,0.0,1.7382926426262895,0.0004592425323554886,40.651416775098646,0.0,40.14705882352941,0.0
12,0.5,5,256,512,56.28324982599588,0.13528569731037018,94.0924899999518,0.3345857969987138,568.5554491356933,1.3710211152268266,340.09435911060865,1.2145017318712201,5651.14404296875,0.0,8373.7001953125,0.0,6170.0,0.0,8758.0,0.0,1.6717638001193458,0.002262247032061242,32.51317922592697,0.0,29.550125599451928,0.0
12,0.75,5,128,512,46.364600925997365,0.061381871197658554,98.63487964199157,0.10260744846504757,690.1826889704545,0.9151756226541373,324.42912538275425,0.33787129167088187,4273.11279296875,0.0,8394.9501953125,0.0,4890.0,0.0,8682.0,0.0,2.127375371326649,0.0006751715525058947,49.099009600381734,0.0,43.67657221838286,0.0
