fold,best_epoch,best_val_accuracy
1,25,0.815
2,28,0.8175
3,21,0.8025
4,18,0.8225
5,25,0.7725

mean_accuracy,0.806
std_population_accuracy,0.01800000000000001
std_sample_accuracy,0.02012461179749812
